"상품명,조사일,판매가격,판매업소,제조사,세일여부,1+1"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트상주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트사상점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트봉선점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트보령점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트보라점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트반야월점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트문현점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트목포점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트묵동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트목동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트미아점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트둔산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트화성봉담점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트흥덕점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트하월곡점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트하남점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트여수점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트울산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트춘천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트상무점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2500,신정시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트계양점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트평촌점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트자양점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트월배점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3200,구포시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트해운대점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트양재점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트영등포점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3300,동서시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2500,농협대전유통센터,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2900,중리시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3000,부평종합시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트상봉점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트서귀포점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트제주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트원주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트역삼점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트이수점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트용산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3000,서남신시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트서부산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3000,공주산성시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2500,충주무학시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2500,부천상동시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2900,롯데백화점노원점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트청주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2900,롯데백화점포항점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2700,동문시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3400,매일올레시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2850,남부시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3250,마산어시장,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,3600,CU(본사),머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트다산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트포항점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트천안점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트전주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트수색점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트신도림점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트화정점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2500,농협충북유통,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2400,농협유통고양점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트신월점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트만촌점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트광교점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트가든5점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트남원점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트강릉점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트고잔점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트남양주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트태백점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트수원점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트천안서북점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트제천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트마산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트동탄점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트구미점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트분당점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트산본점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트의정부점,머거본,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트여수점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트울산점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6500,롯데마트성정점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트춘천점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,3900,농협유통창동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6500,롯데마트동래점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6500,롯데마트수완점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6500,롯데마트주엽점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼연수점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼범서점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼동소문점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼공릉점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트상무점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양행신점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양풍동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양장항점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양원흥점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양식사점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양삼송2점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양동산점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고양대화점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼고덕점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,4990,롯데슈퍼경주용황점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,8000,신정시장,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼경주동천점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼경남점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼거제상동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼개화산점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼개포4동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼갈월점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼가락점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼가능역점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트계양점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G화곡점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G홍제점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G춘천점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G철원점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G중동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G정림점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G전곡점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G은평점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G은마점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G유진점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트평촌점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G운정점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G오남2점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G양지점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G썬프라자점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G신곡점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G수지점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G속초조양점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G속초점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G소사점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G부곡점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트자양점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G복대점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G복대2점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G보라점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G방배점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G목동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G만수점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G마포점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G마두점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G대림점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G내손점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G고양삼송점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼G강서점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼수성점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6880,이마트월배점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼동탄영천점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼동서울대점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼독산점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼도곡점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼덕정점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대현점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대학로2점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대치청실점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대치점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대치4동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대치2점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대전지족점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대전봉명점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대전반석점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대전둔산점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대전갈마점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대연점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대연2동점,길림양행,N,N"
"허니버터 아몬드(250g),2018-09-21,6990,롯데슈퍼대야2점,길림양행,N,N"
